>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346
>AT5G57785 | Symbols:  | unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:23409105-23409326 REVERSE LENGTH=73

>AT5G51220 | Symbols:  | ubiquinol-cytochrome C chaperone family protein | chr5:20821405-20823125 REVERSE LENGTH=281

>AT5G38386 | Symbols:  | F-box/RNI-like superfamily protein | chr5:15363178-15364815 FORWARD LENGTH=403

>AT5G08270 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G23200.1); Has 89 Blast hits to 86 proteins in 45 species: Archae - 0; Bacteria - 0; Metazoa - 27; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink). | chr5:2661747-2663482 FORWARD LENGTH=386

>AT5G22290 | Symbols: anac089, NAC089 | NAC domain containing protein 89 | chr5:7376044-7377498 REVERSE LENGTH=340

>AT5G17650 | Symbols:  | glycine/proline-rich protein | chr5:5817000-5817763 REVERSE LENGTH=173

>AT5G35732 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G04795.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr5:13897961-13898263 FORWARD LENGTH=100

>AT5G13930 | Symbols: CHS, TT4, ATCHS | Chalcone and stilbene synthase family protein | chr5:4488762-4490035 FORWARD LENGTH=395

>AT5G02000 | Symbols:  | unknown protein; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:380155-380595 REVERSE LENGTH=146

>AT5G58575 | Symbols:  | CONTAINS InterPro DOMAIN/s: Sgf11, transcriptional regulation (InterPro:IPR013246); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:23674399-23675224 FORWARD LENGTH=181

>AT5G57790 | Symbols:  | unknown protein; Has 13 Blast hits to 11 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 13; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:23412596-23413442 REVERSE LENGTH=216

>AT5G38390 | Symbols:  | F-box/RNI-like superfamily protein | chr5:15366432-15368053 FORWARD LENGTH=456

>AT5G07850 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:2508917-2510503 FORWARD LENGTH=456

>AT5G08300 | Symbols:  | Succinyl-CoA ligase, alpha subunit | chr5:2667579-2669672 FORWARD LENGTH=347

>AT5G56190 | Symbols:  | Transducin/WD40 repeat-like superfamily protein | chr5:22742563-22744909 FORWARD LENGTH=441

>AT5G08280 | Symbols: HEMC | hydroxymethylbilane synthase | chr5:2663763-2665596 REVERSE LENGTH=382

>AT5G08290 | Symbols: YLS8 | mRNA splicing factor, thioredoxin-like U5 snRNP | chr5:2666043-2666936 FORWARD LENGTH=142

>AT5G23440 | Symbols: FTRA1 | ferredoxin/thioredoxin reductase subunit A (variable subunit) 1 | chr5:7903230-7903778 REVERSE LENGTH=182

>AT5G11900 | Symbols:  | Translation initiation factor SUI1 family protein | chr5:3834154-3836023 FORWARD LENGTH=198

>AT5G51280 | Symbols:  | DEAD-box protein abstrakt, putative | chr5:20841456-20843645 FORWARD LENGTH=591

>AT5G36710 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G36800.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr5:14425491-14426042 REVERSE LENGTH=183

>AT5G61890 | Symbols:  | Integrase-type DNA-binding superfamily protein | chr5:24852639-24853744 REVERSE LENGTH=248

>AT5G58040 | Symbols: ATFIP1[V], FIPS5, ATFIPS5, FIP1[V] | homolog of yeast FIP1 [V] | chr5:23488865-23494000 FORWARD LENGTH=1196

>AT5G06310 | Symbols: AtPOT1b | Nucleic acid-binding, OB-fold-like protein | chr5:1928468-1930795 FORWARD LENGTH=454

>AT5G63810 | Symbols: BGAL10 | beta-galactosidase 10 | chr5:25537242-25541315 FORWARD LENGTH=741

>AT5G35840 | Symbols: PHYC | phytochrome C | chr5:14008049-14011619 FORWARD LENGTH=1111

>AT5G65683 | Symbols:  | Zinc finger (C3HC4-type RING finger) family protein | chr5:26261472-26263704 FORWARD LENGTH=717

>AT5G06330 | Symbols:  | Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | chr5:1934961-1935584 REVERSE LENGTH=207

>AT5G65690 | Symbols: PCK2, PEPCK | phosphoenolpyruvate carboxykinase 2 | chr5:26266477-26269486 FORWARD LENGTH=670

>AT5G16400 | Symbols: TRXF2, ATF2 | thioredoxin F2 | chr5:5363905-5365249 REVERSE LENGTH=185

>AT5G20980 | Symbols: ATMS3, MS3 | methionine synthase 3 | chr5:7124397-7128353 REVERSE LENGTH=812

>AT5G06320 | Symbols: NHL3 | NDR1/HIN1-like 3 | chr5:1931016-1931711 REVERSE LENGTH=231

>AT5G53240 | Symbols:  | Protein of unknown function (DUF295) | chr5:21601547-21602632 FORWARD LENGTH=361

>AT5G16410 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:5365685-5367383 REVERSE LENGTH=480

>AT5G06300 | Symbols:  | Putative lysine decarboxylase family protein | chr5:1922042-1925278 REVERSE LENGTH=217

>AT5G65640 | Symbols: bHLH093 | beta HLH protein 93 | chr5:26237137-26238904 FORWARD LENGTH=351

>AT5G07890 | Symbols:  | myosin heavy chain-related | chr5:2517718-2519493 REVERSE LENGTH=409

>AT5G06280 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G52520.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:1918379-1918849 REVERSE LENGTH=156

>AT5G65630 | Symbols: GTE7 | global transcription factor group E7 | chr5:26226311-26228257 REVERSE LENGTH=590

>AT5G56520 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G55365.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:22885226-22885531 FORWARD LENGTH=101

>AT5G63820 | Symbols:  | Protein of unknown function (DUF626) | chr5:25541576-25542893 FORWARD LENGTH=225

>AT5G06290 | Symbols: 2-Cys Prx B, 2CPB | 2-cysteine peroxiredoxin B | chr5:1919380-1921211 FORWARD LENGTH=273

>AT5G65670 | Symbols: IAA9 | indole-3-acetic acid inducible 9 | chr5:26254463-26256134 FORWARD LENGTH=338

>AT5G35830 | Symbols:  | Ankyrin repeat family protein | chr5:14000313-14001416 REVERSE LENGTH=282

>AT5G65660 | Symbols:  | hydroxyproline-rich glycoprotein family protein | chr5:26245444-26246245 REVERSE LENGTH=136

>AT5G58050 | Symbols: SVL4 | SHV3-like 4 | chr5:23494498-23497386 REVERSE LENGTH=753

>AT5G65650 | Symbols:  | Protein of unknown function (DUF1195) | chr5:26239588-26241195 FORWARD LENGTH=185

>AT5G03620 | Symbols:  | Subtilisin-like serine endopeptidase family protein | chr5:918738-921874 FORWARD LENGTH=766

>AT5G44290 | Symbols:  | Protein kinase superfamily protein | chr5:17840750-17843190 REVERSE LENGTH=644

>AT5G06340 | Symbols: ATNUDX27, NUDX27 | nudix hydrolase homolog 27 | chr5:1936467-1937911 FORWARD LENGTH=227

>AT5G28650 | Symbols: WRKY74, ATWRKY74 | WRKY DNA-binding protein 74 | chr5:10677790-10678945 REVERSE LENGTH=330

>AT5G07960 | Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0139 (InterPro:IPR005351); Has 193 Blast hits to 193 proteins in 75 species: Archae - 0; Bacteria - 0; Metazoa - 130; Fungi - 0; Plants - 52; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink). | chr5:2542350-2543253 FORWARD LENGTH=107

>AT5G56410 | Symbols:  | Protein with RNI-like/FBD-like domains | chr5:22848508-22850331 REVERSE LENGTH=503

>AT5G16290 | Symbols: VAT1 | VALINE-TOLERANT 1 | chr5:5333874-5337387 FORWARD LENGTH=477

>AT5G16285 | Symbols:  | F-box family protein | chr5:5332830-5333102 REVERSE LENGTH=90

>AT5G07970 | Symbols:  | dentin sialophosphoprotein-related | chr5:2544126-2547916 REVERSE LENGTH=1097

>AT5G17320 | Symbols: HDG9 | homeodomain GLABROUS 9 | chr5:5703380-5707637 REVERSE LENGTH=718

>AT5G17390 | Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr5:5727640-5728688 FORWARD LENGTH=285

>AT5G62040 | Symbols:  | PEBP (phosphatidylethanolamine-binding protein) family protein | chr5:24922810-24923709 FORWARD LENGTH=177

>AT5G44360 | Symbols:  | FAD-binding Berberine family protein | chr5:17872100-17873698 REVERSE LENGTH=532

>AT5G07910 | Symbols:  | Leucine-rich repeat (LRR) family protein | chr5:2521937-2523769 REVERSE LENGTH=262

>AT5G07950 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 9 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:2540530-2542047 REVERSE LENGTH=303

>AT5G44370 | Symbols: PHT4;6 | phosphate transporter 4;6 | chr5:17875147-17876445 REVERSE LENGTH=432

>AT5G17400 | Symbols: ER-ANT1 | endoplasmic reticulum-adenine nucleotide transporter 1 | chr5:5729015-5730104 REVERSE LENGTH=306

>AT5G53230 | Symbols:  | Protein of unknown function (DUF295) | chr5:21598866-21599942 FORWARD LENGTH=358

>AT5G14030 | Symbols:  | translocon-associated protein beta (TRAPB) family protein | chr5:4526878-4528253 FORWARD LENGTH=195

>AT5G58030 | Symbols:  | Transport protein particle (TRAPP) component | chr5:23487021-23488483 REVERSE LENGTH=195

>AT5G56510 | Symbols: APUM12, PUM12 | pumilio 12 | chr5:22881721-22883842 FORWARD LENGTH=596

>AT5G36160 | Symbols:  | Tyrosine transaminase family protein | chr5:14233261-14235129 REVERSE LENGTH=420

>AT5G65687 | Symbols:  | Major facilitator superfamily protein | chr5:26270038-26272787 REVERSE LENGTH=492

>AT5G56370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr5:22836200-22837619 REVERSE LENGTH=421

>AT5G07900 | Symbols:  | Mitochondrial transcription termination factor family protein | chr5:2520188-2521405 FORWARD LENGTH=405

>AT5G58020 | Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF602 (InterPro:IPR006735); Has 385 Blast hits to 385 proteins in 189 species: Archae - 0; Bacteria - 0; Metazoa - 153; Fungi - 117; Plants - 50; Viruses - 0; Other Eukaryotes - 65 (source: NCBI BLink). | chr5:23485585-23486649 FORWARD LENGTH=354

>AT5G56380 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr5:22838836-22840353 REVERSE LENGTH=439

>AT5G62030 | Symbols:  | diphthamide synthesis DPH2 family protein | chr5:24919046-24920407 FORWARD LENGTH=453

>AT5G56400 | Symbols:  | FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein | chr5:22846069-22847615 REVERSE LENGTH=455

>AT5G07980 | Symbols:  | dentin sialophosphoprotein-related | chr5:2549432-2554669 REVERSE LENGTH=1501

>AT5G17410 | Symbols:  | Spc97 / Spc98 family of spindle pole body (SBP) component | chr5:5730651-5736415 FORWARD LENGTH=679

>AT5G56390 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr5:22842790-22844273 REVERSE LENGTH=428

>AT5G63800 | Symbols: MUM2, BGAL6 | Glycosyl hydrolase family 35 protein | chr5:25530323-25535678 FORWARD LENGTH=718

>AT5G44350 | Symbols:  | ethylene-responsive nuclear protein -related | chr5:17864628-17865632 FORWARD LENGTH=334

>AT5G58060 | Symbols: YKT61, ATYKT61, ATGP1 | SNARE-like superfamily protein | chr5:23498277-23500128 FORWARD LENGTH=199

>AT5G35810 | Symbols:  | Ankyrin repeat family protein | chr5:13993428-13994549 REVERSE LENGTH=347

>AT5G36290 | Symbols:  | Uncharacterized protein family (UPF0016) | chr5:14302977-14304972 FORWARD LENGTH=293

>AT5G17450 | Symbols: HIPP21 | Heavy metal transport/detoxification superfamily protein  | chr5:5755386-5756743 FORWARD LENGTH=149

>AT5G36150 | Symbols: ATPEN3, PEN3 | putative pentacyclic triterpene synthase 3 | chr5:14220737-14225422 REVERSE LENGTH=760

>AT5G61980 | Symbols: AGD1 | ARF-GAP domain 1 | chr5:24894472-24899178 FORWARD LENGTH=828

>AT5G03630 | Symbols: ATMDAR2 | Pyridine nucleotide-disulphide oxidoreductase family protein | chr5:922378-924616 REVERSE LENGTH=435

>AT5G07990 | Symbols: TT7, CYP75B1, D501 | Cytochrome P450 superfamily protein | chr5:2560437-2562859 FORWARD LENGTH=513

>AT5G36280 | Symbols:  | BEST Arabidopsis thaliana protein match is: mitochondrial acyl carrier protein 2 (TAIR:AT1G65290.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:14299235-14299462 REVERSE LENGTH=75

>AT5G22530 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G22520.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7480624-7481043 FORWARD LENGTH=139

>AT5G16280 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr5:5323377-5331345 REVERSE LENGTH=1272

>AT5G63860 | Symbols: UVR8 | Regulator of chromosome condensation (RCC1) family protein | chr5:25554821-25558587 REVERSE LENGTH=440

>AT5G36140 | Symbols: CYP716A2 | cytochrome P450, family 716, subfamily A, polypeptide 2 | chr5:14212212-14213259 REVERSE LENGTH=318

>AT5G16450 | Symbols:  | Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase | chr5:5374357-5375342 FORWARD LENGTH=166

>AT5G16270 | Symbols: ATRAD21.3, SYN4 | sister chromatid cohesion 1 protein 4 | chr5:5316783-5322330 FORWARD LENGTH=1031

>AT5G56360 | Symbols: PSL4 | calmodulin-binding protein | chr5:22823586-22827950 REVERSE LENGTH=647

>AT5G17470 | Symbols:  | EF hand calcium-binding protein family | chr5:5760966-5761406 REVERSE LENGTH=146

>AT5G08020 | Symbols: ATRPA70B, RPA70B | RPA70-kDa subunit B | chr5:2572107-2574879 FORWARD LENGTH=604

>AT5G36130 | Symbols:  | Cytochrome P450 superfamily protein | chr5:14209293-14209811 REVERSE LENGTH=140

>AT5G53250 | Symbols: AGP22, ATAGP22 | arabinogalactan protein 22 | chr5:21603715-21604007 FORWARD LENGTH=63

>AT5G08010 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G61040.1); Has 5732 Blast hits to 4319 proteins in 440 species: Archae - 66; Bacteria - 397; Metazoa - 2437; Fungi - 292; Plants - 238; Viruses - 35; Other Eukaryotes - 2267 (source: NCBI BLink). | chr5:2569606-2571613 FORWARD LENGTH=566

>AT5G20970 | Symbols:  | HSP20-like chaperones superfamily protein | chr5:7123132-7124001 FORWARD LENGTH=249

>AT5G17460 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to salt stress; LOCATED IN: mitochondrion; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:5757582-5758867 REVERSE LENGTH=309

>AT5G22520 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G22530.1); Has 14 Blast hits to 14 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 14; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:7479009-7479329 FORWARD LENGTH=106

>AT5G03280 | Symbols: EIN2, PIR2, CKR1, ERA3, ORE3, ORE2, ATEIN2 | NRAMP metal ion transporter family protein | chr5:788589-793066 FORWARD LENGTH=1294

>AT5G08000 | Symbols: E13L3, PDCB2 | glucan endo-1,3-beta-glucosidase-like protein 3 | chr5:2563684-2565282 FORWARD LENGTH=194

>AT5G56530 | Symbols:  | Protein of Unknown Function (DUF239) | chr5:22889382-22891439 FORWARD LENGTH=420

>AT5G03290 | Symbols: IDH-V | isocitrate dehydrogenase V | chr5:794043-795939 FORWARD LENGTH=374

>AT5G61990 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr5:24900186-24903110 REVERSE LENGTH=974

>AT5G63850 | Symbols: AAP4 | amino acid permease 4 | chr5:25551494-25553374 FORWARD LENGTH=466

>AT5G22545 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G22530.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7483306-7483641 FORWARD LENGTH=111

>AT5G22550 | Symbols:  | Plant protein of unknown function (DUF247) | chr5:7483955-7485433 REVERSE LENGTH=443

>AT5G36230 | Symbols:  | ARM repeat superfamily protein | chr5:14273519-14276773 FORWARD LENGTH=411

>AT5G06265 | Symbols:  | hyaluronan mediated motility receptor-related | chr5:1906596-1907382 FORWARD LENGTH=106

>AT5G22540 | Symbols:  | Plant protein of unknown function (DUF247) | chr5:7481546-7482868 REVERSE LENGTH=440

>AT5G28660 | Symbols:  | NHL domain-containing protein | chr5:10683218-10683926 FORWARD LENGTH=174

>AT5G58070 | Symbols: ATTIL, TIL | temperature-induced lipocalin | chr5:23500512-23501156 REVERSE LENGTH=186

>AT5G16420 | Symbols:  | Pentatricopeptide repeat (PPR-like) superfamily protein | chr5:5368034-5369641 FORWARD LENGTH=535

>AT5G22555 | Symbols:  | unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7489450-7490296 FORWARD LENGTH=95

>AT5G06270 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G11600.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:1912895-1913263 FORWARD LENGTH=122

>AT5G17420 | Symbols: IRX3, CESA7, ATCESA7, MUR10 | Cellulose synthase family protein | chr5:5736859-5741407 REVERSE LENGTH=1026

>AT5G63830 | Symbols:  | HIT-type Zinc finger family protein | chr5:25543585-25544802 REVERSE LENGTH=405

>AT5G58080 | Symbols: ARR18, RR18 | response regulator 18 | chr5:23501785-23504099 REVERSE LENGTH=618

>AT5G62020 | Symbols: AT-HSFB2A, HSFB2A | heat shock transcription factor  B2A | chr5:24916212-24917194 FORWARD LENGTH=299

>AT5G63840 | Symbols: RSW3, PSL5 | Glycosyl hydrolases family 31  protein | chr5:25545056-25548922 FORWARD LENGTH=921

>AT5G17440 | Symbols:  | LUC7 related protein | chr5:5749849-5753415 FORWARD LENGTH=404

>AT5G36260 | Symbols:  | Eukaryotic aspartyl protease family protein | chr5:14285068-14288179 REVERSE LENGTH=482

>AT5G17430 | Symbols: BBM | Integrase-type DNA-binding superfamily protein | chr5:5742542-5745568 REVERSE LENGTH=584

>AT5G16440 | Symbols: IPP1 | isopentenyl diphosphate isomerase 1 | chr5:5371765-5373575 FORWARD LENGTH=291

>AT5G16430 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr5:5370350-5370607 FORWARD LENGTH=85

>AT5G36240 | Symbols:  | zinc knuckle (CCHC-type) family protein | chr5:14277972-14278924 REVERSE LENGTH=254

>AT5G06260 | Symbols:  | TLD-domain containing nucleolar protein | chr5:1902755-1904835 REVERSE LENGTH=424

>AT5G36250 | Symbols:  | Protein phosphatase 2C family protein | chr5:14282590-14284376 FORWARD LENGTH=448

>AT5G62000 | Symbols: ARF2, ARF1-BP, HSS, ORE14 | auxin response factor 2 | chr5:24910859-24914680 FORWARD LENGTH=859

>AT5G66675 | Symbols:  | Protein of unknown function (DUF677) | chr5:26615252-26616571 REVERSE LENGTH=412

>AT5G56420 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr5:22850863-22852334 REVERSE LENGTH=422
